Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
Giống như một hạt với khối lượng, bởi vì bạn kết nối, tương tác, với trường tuyết Higgs.        That's like a particle with mass, because you are connecting, interacting, with that Higgs snow field.
Có lẽ tớ nên làm thế thật.        Maybe I should.
7, 8. a) Có bằng chứng nào cho thấy rằng dân sự Đức Chúa Trời đã “giăng dây cho dài”?        7, 8. (a) What evidence is there that God’s people have ‘lengthened their tent cords’?
Với cái ghế lăn này?        To the wheelchair?
Đừng tin những kẻ đó!        Don't trust those men!
Con tự hỏi con có gì từ cha mẹ nữa.        I wonder what else of yours I have.
Anh ký vào áo tôi, được không?        Sign my shirt, would you?
Không phải chúng ngon, mà vì chúng luôn có sẵn.        Not that they were any good, but they were there.
Tuy nhiên, việc làm như thế khiến một người có thể mang nợ máu trong trường hợp đòi hỏi phải dùng vũ khí.        However, armed employment exposes one to the possibility of becoming bloodguilty if called upon to use one’s weapon.
Bài giảng của bạn càng dài, thì bạn càng phải làm cho thật giản dị và càng phải làm nổi bật rõ ràng các điểm chính.        And the longer your talk, the simpler it must be made and the stronger and more sharply defined your key points must be.
Con nghĩ là ở bên cạnh anh ấy thì con sẽ rất vui.        I think I'm going to be happy with him.
Là vụ đầu của tôi ở cục đấy.        It was my first case at the bureau.
Tôi đề nghị anh quay lại làm việc của mình và bỏ vụ này đi.        I suggest you return to your duties and drop this matter.
Họ chán nản, và họ không đạt được những gì hi vọng.        They were frustrated, and they had achieved much less than what they had hoped for.
Xin lỗi, sao cơ?        Sorry, what?
Con y như đồ rác rưởi, xăm đầy mình như vậy.        You look like trash, all marked up like that.
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?        13, 14. (a) How does Jehovah demonstrate reasonableness?
Tuy nhiên, khi người mua đã chọn không tham gia tiết lộ dữ liệu giá thầu, thông tin này bị loại trừ cho tất cả các nhà xuất bản mà họ giao dịch.        However, once a buyer has opted out of disclosing their bid data, this information is excluded for all publishers they transact on.
Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).        You will also smile as you remember this verse: “And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me” (Matthew 25:40).
Không được nói chuyện với nhau        No one here is allowed to talk to each other
Chỉ một.        Just one.
Chúng chỉ là những biểu tượng, và bạn click vào chúng.        They're just icons; you click on them.
Thật hoàn hảo.        So perfect.
(Ê-sai 30:21; Ma-thi-ơ 24:45-47) Trường Ga-la-át giúp các học viên gia tăng lòng biết ơn đối với lớp “đầy-tớ”.        (Isaiah 30:21; Matthew 24:45-47) Gilead School helped the graduates to grow in appreciation for that slave class.
Đức tin nơi ai?        Faith in what?
Chúng ta đang vui vẻ mà.        We're having a good time.
Ông ấy đã được nghe một câu chuyện hoàn toàn khác.        He heard a very different story.
2 Để xây dựng angôi nhà của ta, và để đặt nền móng của Si Ôn, và để dùng trong Chức Tư Tế, và để thanh toán các nợ nần của Chủ Tịch Đoàn Giáo Hội của ta.        2 For the building of mine ahouse, and for the laying of the foundation of Zion and for the priesthood, and for the debts of the Presidency of my Church.
Nếu người của mày thông minh, thì họ sẽ tự xử mày.        If your men are smart, they'll take care of you themselves.
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?        • How can we show tender regard for aging fellow worshippers?
Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).        You will also smile as you remember this verse: “And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me” (Matthew 25:40).
Xin lỗi, sao cơ?        Sorry, what?
Anh ký vào áo tôi, được không?        Sign my shirt, would you?
Họ chán nản, và họ không đạt được những gì hi vọng.        They were frustrated, and they had achieved much less than what they had hoped for.
Chúng ta đang vui vẻ mà.        We're having a good time.
Đừng tin những kẻ đó!        Don't trust those men!
Là vụ đầu của tôi ở cục đấy.        It was my first case at the bureau.
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?        • How can we show tender regard for aging fellow worshippers?
Tuy nhiên, khi người mua đã chọn không tham gia tiết lộ dữ liệu giá thầu, thông tin này bị loại trừ cho tất cả các nhà xuất bản mà họ giao dịch.        However, once a buyer has opted out of disclosing their bid data, this information is excluded for all publishers they transact on.
Để đề phòng luật mới , 30.000 xe mới đã đăng ký vào tuần trước , ít nhất là bằng ba lần tỷ lệ bình thường , hãng tin nhà nước Xinhua .        In anticipation of the new ruling , 30,000 new vehicles were registered in the past week , at least three times the normal rate , Xinhua state news agency .
2 Để xây dựng angôi nhà của ta, và để đặt nền móng của Si Ôn, và để dùng trong Chức Tư Tế, và để thanh toán các nợ nần của Chủ Tịch Đoàn Giáo Hội của ta.        2 For the building of mine ahouse, and for the laying of the foundation of Zion and for the priesthood, and for the debts of the Presidency of my Church.
Và quý nhất là 1 khoảnh khắc đúng lúc, khi bạn nhìn xung quanh, lấy được 1 tầm nhìn X-quang và chụp 1 bức bằng camera X-quang.        And what's good about this, I think, is that it's like a moment in time, like you've turned around, you've got X-ray vision and you've taken a picture with the X-ray camera.
Không được nói chuyện với nhau        No one here is allowed to talk to each other
7, 8. a) Có bằng chứng nào cho thấy rằng dân sự Đức Chúa Trời đã “giăng dây cho dài”?        7, 8. (a) What evidence is there that God’s people have ‘lengthened their tent cords’?
Chun Song Yi cũng là người.        Cheon Song Yi is a human being after all.
Có lẽ tớ nên làm thế thật.        Maybe I should.
Khi tài khoản Google Ads và Salesforce được liên kết, bạn cần chọn những sự kiện quan trọng, trạng thái khách hàng tiềm năng và giai đoạn cơ hội, để theo dõi dữ liệu chuyển đổi.        Once your Google Ads and Salesforce accounts are linked, you need to choose which Salesforce milestones – lead statuses and opportunity stages – to monitor for conversions.
Không phải chúng ngon, mà vì chúng luôn có sẵn.        Not that they were any good, but they were there.
Đây là một phần của công việc.        It's part my job.
Như vậy, Giê-su và các sứ-đồ dạy rằng ngài là “Con của Đức Chúa Trời”, nhưng sau này các nhà thờ bày đặt ra ý-niệm về “Đức Chúa (Trời) Con”.        Thus, Jesus and his apostles taught that he was “the Son of God,” but it was later churchmen who developed the idea of “God the Son.”
18 Sau khi nói bài giảng, bạn nên chăm chú nghe lời khuyên bảo.        18 After you deliver your talk, listen carefully to the oral counsel offered.
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?        13, 14. (a) How does Jehovah demonstrate reasonableness?
À nè, anh hỏi em một chút được không?        So, hey uh, can I ask you something?
Vậy, tôi phải lái xe tới đó à?        So, do I have to drive down there?
Số mệnh của người Triều Tiên là không phải đau khổ dưới sự áp bức nô lệ, mà là phát triển trong vinh quang của tự do.        The destiny of the Korean people is not to suffer in the bondage of oppression, but to thrive in the glory of freedom.
Tôi có quen anh sao?        Do I know you?
Với cái ghế lăn này?        To the wheelchair?
Thật hoàn hảo.        So perfect.
Chỉ một.        Just one.
Con nghĩ là ở bên cạnh anh ấy thì con sẽ rất vui.        I think I'm going to be happy with him.
Chúng ta chỉ tìm hướng đi mà chúng ta đã được chọn sẵn để đi.        We are only finding the path we are meant to walk on.
Ông ấy đã được nghe một câu chuyện hoàn toàn khác.        He heard a very different story.
Con y như đồ rác rưởi, xăm đầy mình như vậy.        You look like trash, all marked up like that.
Tuy nhiên, việc làm như thế khiến một người có thể mang nợ máu trong trường hợp đòi hỏi phải dùng vũ khí.        However, armed employment exposes one to the possibility of becoming bloodguilty if called upon to use one’s weapon.
Trong hai phút vừa qua thì không.        In the last two minutes, no.
Con tự hỏi con có gì từ cha mẹ nữa.        I wonder what else of yours I have.
Chính xác.        That's right.
Nếu người của mày thông minh, thì họ sẽ tự xử mày.        If your men are smart, they'll take care of you themselves.
Một điểm chung của chúng ta là nhu cầu thể hiện bản thân mãnh liêt.        And I think one thing we have in common is a very deep need to express ourselves.
Chúng chỉ là những biểu tượng, và bạn click vào chúng.        They're just icons; you click on them.
Vẫn còn cơ hội để không chỉ mang đàn cá trở lại mà còn đánh bắt được nhiều cá hơn nuôi sống nhiều người hơn so với hiện tại.        We still have an opportunity to not only bring the fish back but to actually get more fish that can feed more people than we currently are now.
Đức tin nơi ai?        Faith in what?
Tính chuyện gì?        What math?
Bởi vì, thật sự không có bất kỳ nguồn giấy thài nào ở ngôi làng.        As it turns out, there actually wasn't any waste paper in this village.
Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
Anh Swingle nói: “Đến đây và bỏ thời giờ ra nghe giảng là một kinh nghiệm làm bạn khiêm nhường. Khi rời khỏi nơi đây, bạn được trang bị tốt hơn nhiều để đề cao Đức Giê-hô-va”.        “It is a humbling experience to come here and spend time listening to instruction,” Brother Swingle said, adding: “You go away from here much better equipped to magnify Jehovah.”
Bài giảng của bạn càng dài, thì bạn càng phải làm cho thật giản dị và càng phải làm nổi bật rõ ràng các điểm chính.        And the longer your talk, the simpler it must be made and the stronger and more sharply defined your key points must be.
Giống như một hạt với khối lượng, bởi vì bạn kết nối, tương tác, với trường tuyết Higgs.        That's like a particle with mass, because you are connecting, interacting, with that Higgs snow field.
(Ê-sai 30:21; Ma-thi-ơ 24:45-47) Trường Ga-la-át giúp các học viên gia tăng lòng biết ơn đối với lớp “đầy-tớ”.        (Isaiah 30:21; Matthew 24:45-47) Gilead School helped the graduates to grow in appreciation for that slave class.
Tôi đề nghị anh quay lại làm việc của mình và bỏ vụ này đi.        I suggest you return to your duties and drop this matter.
Bằng việc so sánh trọng lượng của anh ta trước và sau khi thử nghiệm, họ có thể tính ra được có bao nhiêu mồ hôi đã mất.        By comparing his weight before and after the test, they can calculate how much sweat he has lost.
Ta sẽ để những cái đổ mồ hôi này lại sau.        We'll leave these sweaty ones behind.
Tôi không dại gì đổ mồ hôi cho mấy trò ngu ngốc này.        I'm not sweating my ass off for that durak.
Đôi khi chứng trào huyết này cũng thường kèm theo đổ mồ hôi vào ban đêm ( mồ hôi ướt sũng vào ban đêm ) .        Sometimes hot flashes are accompanied by night sweats ( episodes of drenching sweats at nighttime ) .
Mày có vấn đề với tuyến mồ hôi rồi.        It's just the problem of unsaturated and fat secretion of the sweat gland
Điều gì làm cho mồ hôi nặng mùi ?        What makes it smelly ?
Đám con mồ côi, đã bị rủa phải tranh đấu đổ mồ hôi ra để có chén cơm mà tồn tại.        Orphaned children, cursed to struggle by the sweat of our brow to survive.
Mặc dù chứng mồ hôi trộm thường xuất hiện trên mặt và có thể ở những vùng da rộng trên cơ thể , đây là bệnh không gây nguy hiểm gì và sẽ hết trong một vài tuần đầu với chế độ chăm sóc da bình thường .        Although miliaria often occurs on the face and may be present on large areas of the body , it 's a harmless condition that will go away within the first several weeks with normal skin care .
Chú đổ mồ hôi khi lo lắng.        I sweat when I'm nervous.
Bạn có biết bao nhiêu máu và mồ hôi những người đã mở rộng, số tiền của những nỗ lực siêng năng mà đi vào một ví?        Do you know how much blood and sweat those people have expended, the amount of painstaking effort that goes into a purse?
Đôi khi mồ hôi hoặc chất ẩm này có thể bốc mùi hoặc làm cho cơ thể bạn hôi thối .        Sometimes this sweat or wetness can be smelly and create body odor .
Bạn có thể chọn sử dụng chất khử mùi ( giúp ngăn mùi ) hoặc chất khử mùi chất ngăn tiết mồ hôi ( giúp ngăn mùi và tiết mồ hôi ) .        You can decide to wear a deodorant ( which helps stops the smell ) or a deodorant antiperspirant ( which helps stops the smell and the sweat ) .
Nhưng ông đang vã mồ hôi.        But you're sweating.
Tao còn ko thích mồ hôi của tao chạm vào da tao mày nghĩ cảm giác của tao với mồ hôi của chúng nó ra sao?        I don't like my own sweat touching my skin. How do you think I feel about theirs?
Tôi đã đổ máu, mồ hôi và nước mắt vào việc huấn luyện.        I put my blood, sweat, and tears into my coaching.
Tôi luôn nói thế, bạn biết đấy, nếu như bạn thuê người chỉ vì họ có thể làm việc, họ sẽ làm vì tiền của bạn, nhưng nếu bạn thuê người mà họ tin vào cái mà bạn tin, họ sẽ làm cho bạn với máu, mồ hôi và nước mắt.        I always say that, you know, if you hire people just because they can do a job, they'll work for your money, but if they believe what you believe, they'll work for you with blood and sweat and tears.
Vì tìm lại máy ảnh cho ông mà tôi đã phải đổ mồ hôi công sức, ông vẫn chưa đi à?        I found the camera for you.
Tớ không muốn bộ cánh này ướt mồ hôi đâu.        And I'm not tryin'to get all sweaty in this.
Nếu thân nhiệt cao hơn , cơ thể sẽ không thích và sẽ tiết ra mồ hôi .        If you get hotter than that , your body doesn't like it , so then your body sweats .
Điều quan trọng là phải lau sạch hết mồ hôi đi và đừng để mồ hôi đọng lại ở vùng mụn , vì chất đọng mặn có thể làm da kích ứng .        It's important to wash the sweat away and not let it rest on infected areas , as salt deposits can irritate .
Mỗi đêm, tôi đều tỉnh dậy trong tình trạng toát đầy mồ hôi lạnh, sợ hãi và cô độc.        Every night, I would wake up in a cold sweat, frightened and alone.
Tôi đang thắc mắc cô có thể ngửi mồ hôi dùm tôi không.        I was wondering if you could smell some perspiration for me.
Bất cứ tôi hỏi cái gì, bà đều quanh co và trả lời qua loa, và tôi thì vã mồ hôi trên sân khấu -- bất cứ ai trong thế giới giải trí đều biết chết đứng trên sân khấu là như thế nào.        Anything that I would ask, she would turn around, dismiss, and I was basically up there -- any of you in the moderate-to-full entertainment world know what it is to die onstage.
Tôi đổ mồ hôi.        I'm sweating.
Trong bộ trang phục luyện tập màu đen và mồ hôi nhễ nhại, tôi nói với họ: “Tôi không biết gì về Kinh Thánh”.        Dressed in a black training suit, with sweat rolling down my body, I told them, “I know nothing about the Bible.”
Ít ra bây giờ tôi cũng đã hiểu được chúng tôi bắt những người thuyết trình của chúng tôi trải qua những gì: bàn tay đẫm mồ hôi, những đêm tối mất ngủ, nỗi sợ hãi thời gian.        If nothing else, at least I've discovered what it is we put our speakers through: sweaty palms, sleepless nights, a wholly unnatural fear of clocks.
Đổ mồ hôi hả, con trai yêu?        Flop sweat, Sonny?
Ta kết hợp lắc lư, ủn ỉn, ra mồ hôi và rối loạn trương lực với một bà mẹ lo lắng thế là có ngay một chẩn đoán nghiệp dư là động kinh.        You mix rocking, grunting, sweating and dystonia with concerned parents and you get an amateur diagnosis of epilepsy.
Mồ hôi của chúng ta sẽ chảy như máu trong mạch của chúng ta.        Our sweat will run as blood in our veins.
Mùa lễ Phục Sinh này, tôi cám ơn Ngài và Đức Chúa Cha là Đấng đã ban Ngài cho chúng ta để chúng ta có thể hát về một khu vườn đẫm mồ hôi và máu, một cây thập tự đóng đầy đinh, và một ngôi mộ trống đầy vinh quang:        This Easter I thank Him and the Father, who gave Him to us, that we can sing before a sweat-stained garden, a nail-driven cross, and a gloriously empty tomb:
“Tôi run lên, tay toát mồ hôi, và nói nhanh—không chậm lại được”.        “I would get nervous, my palms would sweat, and I would speak fast —I couldn’t slow down.”
nhưng lại có sự hiện diện quen thuộc của những âu lo tột độ đó, những hy vọng thiết tha được cứu rỗi đó, những bàn tay đẫm mồ hôi đó và cả đám người đang lo ra ở dãy ghế phía sau đó.        With the same great feelings of suspense, the same deep hopes for salvation, the same sweat in the palms and the same people in the back not paying attention.
Đối với phụ nữ, sự xấu hổ là làm tất cả điều đó, làm một cách hoàn hảo và không bao giờ để người khác thấy bạn đang đổ mồ hôi.        For women, shame is, do it all, do it perfectly and never let them see you sweat.
Tôi chảy mồ hôi vì thịt.        I get the meat sweats.
Chúng ta đem đến máu và mồ hôi vì cái gì cơ chứ?        We bring the blood and swords for what?
Khi tôi cầu nguyện cho em, em liền toát mồ hôi và hết sốt.        When I offered a prayer, the child immediately began to perspire and the fever disappeared.
Họ bất chấp các sự gian khổ như là bệnh sốt rét cứ tái phát với các triệu chứng run lập cập, đổ mồ hôi và mê sảng.        They braved many hardships, such as recurrent attacks of malaria, with its symptoms of shivering, sweating, and delirium.
+ 44 Nhưng trong lúc đau buồn tột độ, ngài càng cầu nguyện tha thiết;+ mồ hôi ngài trở nên như những giọt máu rơi xuống đất.        + 44 But he was in such agony that he kept praying more earnestly;+ and his sweat became as drops of blood falling to the ground.
Nó bảo, " Ồ, mẹ, đừng toát mồ hôi trước những chuyện vặt. "        He said, " Oh, Mom, don't sweat the small stuff. "
Bạn có thể thấy họ đang toát mồ hôi, nhưng họ rắn rỏi.        You could see that they were sweating and this was tough.
Họ thấy một gã mồ hôi mồ kê đầy mình và cái thùng súp-de của họ sôi lên.        They see a fella with sweat all over him and their boilers go steaming over.
Ắt là bạn cũng biết mồ hôi là gì , nhưng bạn có biết đó cũng là sự thoát mồ hôi không ?        You probably know what sweat is , but did you know that it 's also called perspiration ?
Mồ hôi tuôn ra trên ngón tay,        Perspiration on your fingertips, heart's pounding.
Họ thẳng tính, họ là những người thích kéo, đẩy và đổ mồ hôi lên người.        Straight women, they have guys pulling and yanking on them and sweating on them.
Men sống lại và bắt đầu ăn đường, tạo ra CO2 và cồn -- đặc biết nó sẽ ợ chua và đổ mồ hôi, đây là đặc trưng của bánh mỳ.        The yeast comes alive and starts eating the sugars, creating carbon dioxide and alcohol -- essentially it's burping and sweating, which is what bread is.
Cậu phải chảy mồ hôi để lôi nó ra.        You are gonna sweat this one through.
Trán ông lạnh toát mồ hôi và ông lần mò đi quanh bàn và men theo tường cho đến khi ra được hàng lang nhỏ với cái thứ bùa độc trên tay .        His brow cold with sweat , he felt his way around the table , and groped along the wall until he found himself in the small passage with the unwholesome thing in his hand .
Mồ hôi nách?        Smelly armpit?
(Gióp 42:12) Còn những kẻ bất trung có thể làm giàu bằng mồ hôi nước mắt của người khác và thậm chí có vẻ phát đạt một thời gian.        (Job 42:12) Those who deal treacherously may feel that they are bettering themselves at the expense of someone else and may even seem to prosper for a time.
Hình ảnh kênh thanh toán minh họa số lượng người dùng đã di chuyển từ một bước sang bước tiếp theo, số người dùng đã bỏ qua quy trình ở mỗi bước và số người dùng đã tham gia quy trình ở mỗi bước.        The checkout-funnel visualization illustrates how many users moved on from one step to the next, how many abandoned the process at each step, and how many entered the process at each step..
Lưu ý: Nếu bạn đã sử dụng mã theo dõi chuyển đổi của thẻ trang web toàn cầu, hãy chuyển sang Bước 2.        Note: If you’re already using the global site tag conversion tracking code, move to Step 2.
Tôi có thấy những bạn trẻ mà tôi gặp ở Paris, ở Florence, ở Barcelona, họ có bằng cấp nhưng không việc làm. Họ cứ làm thử việc này việc kia đến tận 30, mà đời vẫn chưa chịu bước sang trang mới, vì họ sống trong một nền kinh tế chỉ muốn tạo ra thật nhiều tài sản chứ không phải việc làm.        I did notice that the young people I encountered in Paris, in Florence, in Barcelona, had degrees but no place to take them, living on internships well into their 30s, their lives prevented from launching, because of an economy that creates wealth -- just not jobs.
Một số người cảm thấy họ phải ăn mặc giống như những người trong tạp chí thời trang mới nhất, đi nghỉ mát tốn kém, ăn uống trong nhà hàng sang trọng, và mua “đồ chơi” mới nhất dành cho người lớn—như xe đi du ngoạn, tàu bè, máy chụp hình, máy hát âm thanh nổi.        Some feel that they have to look like people in the latest fashion magazines, take expensive vacations, eat out at fancy restaurants, and buy the latest adult “toys” —recreation vehicles, boats, cameras, stereo equipment.
Có thể dễ dàng hơn nếu bạn chuyển sang tab xem trước quảng cáo và mở quảng cáo trong cửa sổ mới, sau đó tìm kiếm qua nguồn trang hoặc kiểm tra các phần tử DOM trang (ví dụ: thông qua Công cụ dành cho nhà phát triển trong Chrome hoặc FireBug trong FireFox) để xác định cách URL hiển thị trên trang.        You may have an easier time if you switch to the creative preview tab and open the creative in a new window, then search through the page source or inspect the page DOM elements (e.g., through Dev Tools in Chrome or FireBug in FireFox) to identify how the URLs are being rendered on the page.
Những người giống như Neil và Franz thường không quay sang tội ác một sớm một chiều, mới đầu có lẽ họ chùn bước trước ý tưởng đó.        People like Neil and Franz do not normally turn to crime overnight; at first, they would recoil at the thought.
Sự hiểu biết có được từ Lời Đức Chúa Trời trang bị cho chúng ta chuyển sang bước kế tiếp—thực hành đức tin nơi Chúa Giê-su Christ.        The knowledge we gain from God’s Word equips us to take the next step —exercising faith in Jesus Christ.
Có nhiều lý do chính đáng để chuyển hướng một URL tới một URL khác, chẳng hạn như khi di chuyển trang web của bạn sang địa chỉ mới hoặc khi hợp nhất nhiều trang thành một trang.        There are many good reasons to redirect one URL to another, such as when moving your site to a new address, or consolidating several pages into one.
Nếu trang thích ứng của bạn thay đổi bố cục sau khi hướng thiết bị thay đổi (ví dụ: khi máy tính bảng hoặc điện thoại chuyển từ dọc sang ngang), chúng tôi sẽ yêu cầu và tải một quảng cáo mới có kích thước đúng để vừa với bố cục trang mới.        If your responsive page changes its layout following a device orientation change (e.g. when a tablet or phone goes from portrait to landscape), we’ll request and load a new ad of the correct dimensions to fit the new page layout.
Nếu bạn đã cài đặt bất kỳ phần mềm phân tích web nào trên trang web của mình, hoặc nếu CMS của bạn cung cấp chức năng phân tích, bạn cũng nên xem lại lưu lượng truy cập theo cách này để bạn có thể thấy tiến trình của lưu lượng truy cập từ trang web cũ sang trang web mới.        If you have installed any web analytics software on your site, or if your CMS provides analytics, it's also recommended you review traffic this way so that you can see the progress of traffic from your old to new site.
Để tạo hồ sơ thanh toán mới và chuyển ứng dụng của bạn sang hồ sơ mới nếu cần, hãy làm theo các bước sau:        To create a new payments profile and transfer your apps to your new profile if necessary, follow these steps:
Như James Salter đã viết, "Cuộc đời bước sang trang khi nó trải qua bất cứ điều gì."        As James Salter wrote, "Life passes into pages if it passes into anything."
Tôi vẫn có cuộc đời để sống, vẫn còn nhiều trang để bước sang.        I still have my life to live, still have many more pages to pass into.
Nếu bạn mở các trang web trong ứng dụng của mình, hãy cập nhật liên kết ứng dụng lên URL mới trước khi triển khai chuyển hướng từ trang cũ sang trang mới.        If you open your web pages within your app, update the app links to the new URLs before you implement your old to new page redirects.
Tôi tin tưởng rằng chúng ta đang bước vào giai đoạn mới cho đối thoại và đối tác khi chúng ta chuyển sang một hình thức CG mới vào năm 2013 và sau đó.        I am confident that we are embarking on an exciting new phase of our dialogue and partnership as we move to a new format for the CG in 2013 and beyond.
Ví dụ: trong vòng 30 phút, người dùng mở trang chủ, chuyển đến trang sản phẩm, sau đó quay lại trang chủ trước khi chuyến đến trang sản phẩm khác. Khi đó, đường dẫn sẽ hiển thị 2 sự kiện screen_view cho trang chủ và 1 sự kiện screen_view cho mỗi trang sản phẩm trong bước đầu tiên.        For example, when a user opens the home page, navigates to a product page, then returns to the home page before navigating to another product page, all within 30 minutes, the path shows two home screen_view events for the home page and one screen_view event for each product page in the first step.
Khi bạn đã có ánh xạ và trang web mới của bạn đã sẵn sàng, bước tiếp theo là thiết lập chuyển hướng HTTP 301 trên máy chủ của bạn từ các URL cũ sang URL mới như bạn chỉ ra trong ánh xạ.        Once you have a mapping and your new site is ready, the next step is to set up HTTP 301 redirects on your server from the old URLs to the new URLs as you indicated in your mapping.
Chương trình bảo vệ quê hương đang bắt đầu sang một bước mới trong kế hoạch của tôi.        Hometown security is next on my to- do list.
Hãy làm theo các bước trong đường dẫn này để đánh dấu doanh nghiệp là đã đóng cửa hoặc làm theo các bước trong đường dẫn này để chuyển doanh nghiệp sang địa điểm mới mà không phải tạo danh sách mới.        Follow these steps to mark a business as closed, or follow these steps to move your business to a new location on without having to create a new listing for it.
Vì vậy mà bước nhảy từ một vi khuẩn sang người ta ngắn hơn là bước nhảy từ hỗn hợp các axit amin sang con vi khuẩn ấy” (Giáo sư sinh học Lynn Margulis).        So to go from a bacterium to people is less of a step than to go from a mixture of amino acids to that bacterium.”—Professor of Biology Lynn Margulis
Điều này là do trang web của bạn chuyển hướng lưu lượng truy cập từ trang web cũ sang trang web mới và mọi nỗ lực thu thập dữ liệu đối với trang web cũ sẽ được chuyển hướng đến trang web mới, ngoài bất kỳ lần thu thập dữ liệu nào khác.        This is because your site redirects traffic from the old to the new site, and any crawls of the old site will be redirected to the new site, in addition to any other crawling.
Và có hai điều đã xảy ra ở Kosovo, và cũng kiểu như là, một sự ngẫu nhiên nữa, bởi vì những điều trên hóa ra đã trở thành hai trong số những bước ngoặt đời tôi và giúp tôi sang trang mới.        And two things happened in Kosovo, which kind of, again, shows the randomness of life, because these things turned out to be two of the pivots of my life and helped to deliver me to the next stage.
