Okay, keep it straight.	Tốt, giữ cho nó đi thẳng.
" We have a witch in the family.	Gia đình ta có một phù thủy.
Song 191 and concluding prayer.	Bài hát 107 và cầu nguyện kết thúc.
As disciples of Jesus Christ, we ought to do all we can to redeem others from suffering and burdens.	Là các môn đồ của Chúa Giê Su Ky Tô, chúng ta phải làm hết sức mình để giúp đỡ những người khác thoát khỏi cảnh khổ đau và gánh nặng.
Happy Thanksgiving!	Happy Thanksgiving!
In the most important area of life —faithfulness to God— Solomon failed.	Trong khía cạnh quan trọng nhất của đời sống, đó là giữ lòng trung thành với Đức Chúa Trời, thì ông lại thất bại.
Is that understood?	Cậu rõ chưa?
There were moments when he would actually space out for seconds at a time.	Đã có những lúc cậu có thể thực sự thoát ra ngoài được vài giây đồng hồ.
So, for Ebola, the paranoid fear of an infectious disease, followed by a few cases transported to wealthy countries, led the global community to come together, and with the work of dedicated vaccine companies, we now have these: Two Ebola vaccines in efficacy trials in the Ebola countries --	Với Ebola sự bấn loạn nó gây ra cùng với việc có 1 số ca lây lan đến các nước phát triển đã khiến cho cộng đồng thế giới gắn kết với nhau cùng với sự nỗ lực của những nhà cung cấp vắc-xin hàng đầu, giờ thì chúng ta có những thứ này: Hai mẫu thử vắc-xin hữu nghiệm ở các quốc gia nhiễm Ebola
Researchers tell us there is a mechanism in our brain called the pleasure center.2 When activated by certain drugs or behaviors, it overpowers the part of our brain that governs our willpower, judgment, logic, and morality.	Các nhà nghiên cứu cho chúng ta biết rằng có một bộ phận trong óc chúng ta được gọi là trung tâm khoái lạc.2 Khi được kích thích bởi vài chất ma túy hoặc hành vi nào đó thì trung tâm này sẽ áp đảo một bộ phận trong óc chúng ta là bộ phận chỉ huy ý chí, cách xét đoán, lý luận và đạo đức.
What math?	Tính chuyện gì?
• How can we show tender regard for aging fellow worshippers?	• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?
When we give of ourselves to others, not only do we help them but we also enjoy a measure of happiness and satisfaction that make our own burdens more bearable. —Acts 20:35.	Khi quên mình vì người khác, không những chúng ta giúp họ mà còn cảm thấy hạnh phúc và mãn nguyện ở mức độ nào đó, khiến gánh nặng của chúng ta dễ chịu đựng hơn.—Công-vụ 20:35.
Maybe I should.	Có lẽ tớ nên làm thế thật.
Faith in what?	Đức tin nơi ai?
That's like a particle with mass, because you are connecting, interacting, with that Higgs snow field.	Giống như một hạt với khối lượng, bởi vì bạn kết nối, tương tác, với trường tuyết Higgs.
Kenya is now speeding up.	Kenya cũng tăng tốc.
You know, a good night's sleep wouldn't be the worst thing in the world.	Cô biết đấy, một giấc ngủ ngon và không để tâm tới những thứ tồi tệ đang xảy ra trên trái đất.
Provider of any and all entertainments and diversions.	Người cung cấp tất cả các trò giải trí... và tiêu khiển ở đây.
After we get all this stuff, we go over to Maxwell Street... to get hot dogs from those Polish people here.	Bây giờ chúng ta lo xong chuyện học hành rồi.
The Devices, Assisting Devices, and Device Paths reports show you not only when customers interact with multiple ads before completing a conversion, but also when they do so on multiple devices.	Các báo cáo Thiết bị, Thiết bị hỗ trợ và Đường dẫn thiết bị không chỉ cho bạn thấy thời điểm khách hàng tương tác với nhiều quảng cáo trước khi hoàn thành chuyển đổi mà còn thời điểm họ làm như vậy trên nhiều thiết bị.
That won't matter to Demmin Nass.	Điều đó ko hề gì với Demmin Nass.
13, 14. (a) How does Jehovah demonstrate reasonableness?	13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?
He was our responsibility.	Cậu ấy là trách nhiệm của chúng ta.
I have your number.	Tôi có số của cô...
Look out!	Coi chừng!
Do I know you?	Tôi có quen anh sao?
If we could just.... if we could just make this right.	nếu chúng ta chỉ... chỉ có thể sửa chữa lại những điều đó.
However, armed employment exposes one to the possibility of becoming bloodguilty if called upon to use one’s weapon.	Tuy nhiên, việc làm như thế khiến một người có thể mang nợ máu trong trường hợp đòi hỏi phải dùng vũ khí.
I saw that accident too.	em đã chứng kiến vụ tai nạn đó.
We still have an opportunity to not only bring the fish back but to actually get more fish that can feed more people than we currently are now.	Vẫn còn cơ hội để không chỉ mang đàn cá trở lại mà còn đánh bắt được nhiều cá hơn nuôi sống nhiều người hơn so với hiện tại.
(Ephesians 6:1-3) He expects parents to instruct and correct their children.	Đức Chúa Trời đòi hỏi con cái phải vâng lời cha mẹ (Ê-phê-sô 6:1-3).
Jim, I don't know what to tell you.	Jim, Tôi không biết phải nói thế nào
Just one.	Chỉ một.
He needs boundaries and a strong hand.	Nó cần phải có 1 bàn tay mạnh mẽ bảo vệ nó.
And pray for God’s help to develop this elevated kind of love, which is a fruit of God’s holy spirit. —Proverbs 3:5, 6; John 17:3; Galatians 5:22; Hebrews 10:24, 25.	Và cầu nguyện xin Đức Chúa Trời giúp đỡ bạn phát triển loại yêu thương cao thượng này, vì đó là một trái của thánh linh Đức Chúa Trời (Châm-ngôn 3:5, 6; Giăng 17:3; Ga-la-ti 5:22; Hê-bơ-rơ 10:24, 25).
Is that you take this back.	Lấy lại cái này.
And what's good about this, I think, is that it's like a moment in time, like you've turned around, you've got X-ray vision and you've taken a picture with the X-ray camera.	Và quý nhất là 1 khoảnh khắc đúng lúc, khi bạn nhìn xung quanh, lấy được 1 tầm nhìn X-quang và chụp 1 bức bằng camera X-quang.
These are quite different, and they are outside the grasp of modern diplomacy.	Những cuộc xung đột này khá khác nhau, và chúng nằm ngoài tầm hiểu biết của ngoại giao hiện đại.
Not that they were any good, but they were there.	Không phải chúng ngon, mà vì chúng luôn có sẵn.
If we follow this guideline, we will not make the truth more complicated than it needs to be.	Nếu theo sự hướng dẫn này, chúng ta sẽ không làm cho lẽ thật trở nên quá phức tạp.
Why didn't you tell me?	Vậy sao không cho em biết?
And the longer your talk, the simpler it must be made and the stronger and more sharply defined your key points must be.	Bài giảng của bạn càng dài, thì bạn càng phải làm cho thật giản dị và càng phải làm nổi bật rõ ràng các điểm chính.
You will also smile as you remember this verse: “And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me” (Matthew 25:40).	Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).
Yes, ma'am.	Vâng thưa cô.
Casey has a map.	Casey có bản đồ.
That's right.	Chính xác.
Stand still, idiot.	Đứng yên, đồ ngu.
If your men are smart, they'll take care of you themselves.	Nếu người của mày thông minh, thì họ sẽ tự xử mày.
In anticipation of the new ruling , 30,000 new vehicles were registered in the past week , at least three times the normal rate , Xinhua state news agency .	Để đề phòng luật mới , 30.000 xe mới đã đăng ký vào tuần trước , ít nhất là bằng ba lần tỷ lệ bình thường , hãng tin nhà nước Xinhua .
Such phrases can help you better understand and focus on the main ideas and principles in the scriptures.	Các cụm từ như vậy có thể giúp các em hiểu rõ hơn và tập trung vào những ý chính và các nguyên tắc trong thánh thư.
Thus, Jesus and his apostles taught that he was “the Son of God,” but it was later churchmen who developed the idea of “God the Son.”	Như vậy, Giê-su và các sứ-đồ dạy rằng ngài là “Con của Đức Chúa Trời”, nhưng sau này các nhà thờ bày đặt ra ý-niệm về “Đức Chúa (Trời) Con”.
She must have given it back before she took off on him.	Bà ấy hẳn đã bỏ nó lại trước khi bỏ bố mà đi.
We're gonna watch her, make sure that her pressure doesn't drop again, but, yes, she's going to be okay.	để chắc chắn hơn. cô ấy sẽ ổn thôi.
No, Dr. and Mrs. Cullen yank them out for, like, hiking and camping and stuff.	Ông bà Cullen kéo họ đi bộ, cắm trại và làm những thứ linh tinh khác.
What do you want me to do?	Cậu còn muốn tớ làm gì nữa?
In the last two minutes, no.	Trong hai phút vừa qua thì không.
The prophecy regarding the destruction of Jerusalem clearly portrays Jehovah as a God who ‘causes his people to know new things before they begin to spring up.’ —Isaiah 42:9.	Lời tiên tri về việc thành Giê-ru-sa-lem bị hủy diệt miêu tả rõ ràng Đức Giê-hô-va là Đức Chúa Trời ‘làm cho dân Ngài biết các sự mới trước khi chúng nổ ra’.—Ê-sai 42:9.
We're having a good time.	Chúng ta đang vui vẻ mà.
ATAC has strict rules against employees getting involved with each other.	ATAC cấm nhân viên quan hệ tình cảm với nhau.
Take off your coat!	Mau cởi áo khoác ra.
Intel 's Next Generation Platform to Support GPGPU	Nền tảng thế hệ Chip kế tiếp của Intel sẽ hỗ trợ GPGPU
Manu builds a boat, which the fish pulls until it is grounded on a mountain in the Himalayas.	Manu đóng một chiếc tàu và được con cá kéo cho đến khi chiếc tàu tấp trên một ngọn núi trong dãy Hy Mã Lạp Sơn.
So who's first?	Ai trước nào?
The boy has told us of your needs, and all is waiting for you.	Thằng bé đã nói cho chúng ta những cái con cần, và ta đã chuẩn bị sẵn.
It's a hard problem because the water sloshes about, but it can do it.	Đây là một công việc khó khăn vì nước thường bị bắn tung tóe, nhưng người máy có thể làm việc đó.
So perfect.	Thật hoàn hảo.
They're- - they're ready for you.	Họ đã sẵn sàng để gặp anh rồi.
Once your Google Ads and Salesforce accounts are linked, you need to choose which Salesforce milestones – lead statuses and opportunity stages – to monitor for conversions.	Khi tài khoản Google Ads và Salesforce được liên kết, bạn cần chọn những sự kiện quan trọng, trạng thái khách hàng tiềm năng và giai đoạn cơ hội, để theo dõi dữ liệu chuyển đổi.
Not when I'm on the inside.	Đâu phải khi em đang trong đó.
His club is said to be the hardest among the presidential staff.	Hộp đêm của anh ta là khá nhất trong các hộp đêm
All reds.	Tất cả đều đỏ.
If Lorenzo tucks me in.	Nếu chú Lorenzo đưa cháu vô.
this test will show us.	Nếu có khối u, xét nghiệm sẽ cho ta thấy...
Food, water, shelter, medical care, and emotional and spiritual support are provided as soon as possible	Cung cấp càng sớm càng tốt thức ăn, nước uống, chỗ ở, sự chăm sóc y tế cũng như sự trợ giúp về tinh thần và thiêng liêng
You will be able to declare in simple, straightforward, and profound ways the core beliefs you hold dear as a member of The Church of Jesus Christ of Latter-day Saints.	Các em sẽ có thể tuyên bố trong một cách giản dị, thẳng thắn và sâu sắc về niềm tin cơ bản mà các em quý trọng với tư cách là tín hữu của Giáo Hội Các Thánh Hữu Ngày Sau của Chúa Giê Su Ky Tô.
I think I'm going to be happy with him.	Con nghĩ là ở bên cạnh anh ấy thì con sẽ rất vui.
We are only finding the path we are meant to walk on.	Chúng ta chỉ tìm hướng đi mà chúng ta đã được chọn sẵn để đi.
2 For the building of mine ahouse, and for the laying of the foundation of Zion and for the priesthood, and for the debts of the Presidency of my Church.	2 Để xây dựng angôi nhà của ta, và để đặt nền móng của Si Ôn, và để dùng trong Chức Tư Tế, và để thanh toán các nợ nần của Chủ Tịch Đoàn Giáo Hội của ta.
In some cultures, it is considered poor manners to address a person older than oneself by his first name unless invited to do so by the older one.	Trong một số nền văn hóa, gọi người lớn tuổi hơn bằng tên bị xem là khiếm nhã trừ khi được phép.
With my two children today	Với hai con tôi hiện nay
I suggest you return to your duties and drop this matter.	Tôi đề nghị anh quay lại làm việc của mình và bỏ vụ này đi.
“And this shall ye do in remembrance of my body, which I have shown unto you.	“Và các ngươi làm việc này để tưởng nhớ tới thể xác của ta, mà các ngươi đã được ta cho trông thấy.
Yes, sir.	Vâng thưa ngài.
Many sincere ones have thus heard the good news and have started to study the Bible.	Nhiều người thành thật do đó nghe được tin mừng và đã bắt đầu học hỏi Kinh Thánh.
Excuse me?	Xin lỗi!
My partner and i are trying to transition some of the homeless vets out here into affordable housing.	Cộng sự của tôi và tôi... đang muốn những người vô gia cư được sống tốt hơn
So, do I have to drive down there?	Vậy, tôi phải lái xe tới đó à?
Pick up your gun.	Lượm súng lên đi.
They were studying Korean; they bought Korean clothes.	Họ học tiếng Hàn, mua quần áo Hàn.
For them, Isaiah’s prophecy contained a comforting promise of light and hope —Jehovah would restore them to their homeland!	Đối với họ, lời tiên tri của Ê-sai chứa đựng một lời hứa an ủi về ánh sáng thiêng liêng và hy vọng—Đức Giê-hô-va sẽ đưa họ về quê hương!
It stands to reason that we, existing in this world, should in the course of our lives absorb intuitively those relationships.	Nó đại diện cho lý do chúng ta tồn tại trong thế giới này, đang tồn tại trong đời sống của mình hấp thu một cách trực giác những mối quan hệ đó.
Additionally all data transferred using the Google Ads API must be secured using at least 128 Bit SSL encryption, or for transmissions directly with Google, at least as secure as the protocol being accepted by the Google Ads API servers.	Ngoài ra tất cả các dữ liệu được chuyển bằng cách sử dụng Google Ads API (AdWords API) phải được bảo đảm sử dụng mã hóa SSL tối thiểu 128 Bit hoặc ít nhất là an toàn như giao thức được chấp nhận bởi máy chủ Google Ads API (AdWords API) trong trường hợp truyền trực tiếp tới Google.
18 After you deliver your talk, listen carefully to the oral counsel offered.	18 Sau khi nói bài giảng, bạn nên chăm chú nghe lời khuyên bảo.
And lovingly said: “I want to.”	luôn muốn đưa tay trợ giúp người cầu xin.
“It is a humbling experience to come here and spend time listening to instruction,” Brother Swingle said, adding: “You go away from here much better equipped to magnify Jehovah.”	Anh Swingle nói: “Đến đây và bỏ thời giờ ra nghe giảng là một kinh nghiệm làm bạn khiêm nhường. Khi rời khỏi nơi đây, bạn được trang bị tốt hơn nhiều để đề cao Đức Giê-hô-va”.
He can even see me from there?	Hắn có thể thấy mình ở đây sao?
No one here is allowed to talk to each other	Không được nói chuyện với nhau
Don't trust those men!	Đừng tin những kẻ đó!
And this was "Scared."	Và đây là "Ác mộng."
So we put up a tent on an open piece of ground on the farm of an interested person.	Vì thế chúng tôi dựng lều trên một mảnh đất trống trong nông trại của một người chú ý.
Before you can sign in another person, be sure you've added the second person to your Chromebook.	Trước khi có thể đăng nhập người khác, hãy đảm bảo rằng bạn đã thêm người thứ hai vào Chromebook của mình.
40 You will equip me with strength for the battle;+	40 Ngài trang bị sức cho con ra trận,+
The tundra blazes with color and the whole landscape is transformed.	Cả lãnh nguyên rực rỡ với màu sắc và toàn bộ vùng đất đang được biến đổi.
Always takes my owl, should I wish to register an opinion on the news of the day.	Luôn khoái nghe tôi bình luận tin tức trong ngày
Last night, I realized that I was thinking about your wife's case the wrong way.	tôi nhận ra rằng tôi đã nhầm về vụ của vợ ông.
As it turns out, there actually wasn't any waste paper in this village.	Bởi vì, thật sự không có bất kỳ nguồn giấy thài nào ở ngôi làng.
Do you know where we might find him?	Ông có biết tìm ông ta ở đâu ko?
Praetor.	Pháp quan.
The Kingdom will crush all man-made rulerships and become earth’s sole government.	Nước Trời sẽ đánh tan tất cả sự cai trị do con người lập ra và trở thành chính phủ duy nhất trên đất.
I wonder what else of yours I have.	Con tự hỏi con có gì từ cha mẹ nữa.
However, once a buyer has opted out of disclosing their bid data, this information is excluded for all publishers they transact on.	Tuy nhiên, khi người mua đã chọn không tham gia tiết lộ dữ liệu giá thầu, thông tin này bị loại trừ cho tất cả các nhà xuất bản mà họ giao dịch.
Nathan isn't sure if you have one or not.	Nathan không chắc em có ý thức hay không.
“Although [the deceptive talker] makes his voice gracious,” the Bible warns, “do not believe in him.” —Proverbs 26:24, 25.	Kinh Thánh cảnh giác: “[Dù kẻ phỉnh gạt] nói ngọt-nhạt, thì chớ tin”.—Châm-ngôn 26:24, 25.
Sign my shirt, would you?	Anh ký vào áo tôi, được không?
Big gooberfish!	Cá lớn kìa!
And this enables them to orient in complete darkness.	Và điều này cho phép chúng hoàn toàn định hướng được trong bóng tối.
Meaning, you don't know...	Nghĩa là, cậu không biết...
If you aim for his shirt, you might miss by 2 feet.	Nếu cậu ngắm vào cả chiếc áo, cậu có thể trượt hai thước.
And for some strange reason, I thought of you.	Và vì một lý do kỳ lạ nào đó, con nghĩ tới mẹ.
How can the application of 1 Corinthians 15:33 help us to pursue virtue today?	Ngày nay, việc áp dụng câu Kinh-thánh ở I Cô-rinh-tô 15:33 có thể giúp chúng ta theo đuổi con đường đạo đức như thế nào?
Now, that may sound judgmental, but it's not meant to be.	Điều đó có vẻ đầy phán xét, nhưng hàm ý thì không như vậy.
That's your plan?	Kế hoạch là như vậy à?
This may include gathering fast offerings, caring for the poor and needy, caring for the meetinghouse and grounds, serving as a messenger for the bishop in Church meetings, and fulfilling other assignments from the quorum president.	Điều này có thể gồm có việc thu góp của lễ nhịn ăn, chăm sóc người nghèo khó và túng thiếu, trông nom nhà hội và khuôn viên nhà hội, phục vụ với tư cách là người đưa tin cho vị giám trợ trong các buổi họp Giáo Hội và làm tròn các công việc chỉ định khác từ chủ tịch nhóm túc số.
A woman gains a testimony of temple ordinances.	Một phụ nữ đạt được một chứng ngôn về các giáo lễ đền thờ.
So a pope cannot be lecherous, Cardinal, in public or in private?	Vậy Giáo Hoàng không được dâm đãng à, Giáo chủ, dù công khai hay thầm kín?
That their parents be less tired and less stressed.	Là cha mẹ chúng bớt mệt mỏi và căng thẳng.
People worry that there won't be enough food, but we know, if we just ate less meat and fed less of the crops to animals, there is enough food for everybody as long as we think of ourselves as one group of people.	Mọi người lo lắng rằng sẽ không đủ thực phẩm, nhưng chúng ta biết, nếu chúng ta ăn ít thịt hơn và cho động vật ăn ít hơn các loại cây trồng. nó sẽ đủ thực phẩm cho tất cả mọi người miễn là chúng ta nghĩ về bản thân mình cùng là một nhóm người
♪ All babies together... ♪ Our super pigs will not only be big and beautiful, they will also leave a minimal footprint on the environment, consume less feed and produce less excretions.	Những con siêu lợn này không chỉ to đẹp, chúng sẽ gây ít tác động tới môi trường, ăn ít hơn và thải ít hơn.
Actually, from day to day he perceived things with less and less clarity, even those a short distance away: the hospital across the street, the all- too- frequent sight of which he had previously cursed, was not visible at all any more, and if he had not been precisely aware that he lived in the quiet but completely urban Charlotte Street, he could have believed that from his window he was peering out at a featureless wasteland, in which the grey heaven and the grey earth had merged and were indistinguishable.	Trên thực tế, từ ngày này sang ngày khác, ông cảm nhận mọi thứ một cách rõ ràng ít hơn và ít hơn, thậm chí những khoảng cách ngắn đi: các bệnh viện trên đường phố, tất cả các quá thường xuyên nhìn thấy mà ông trước đó đã bị nguyền rủa, không thể nhìn thấy nữa, và nếu anh ta không nhận thức được một cách chính xác rằng ông sống trong Charlotte phố yên tĩnh nhưng hoàn toàn đô thị, ông có thể tin rằng từ cửa sổ của mình, ông nhìn chăm chú ra tại một không đặc biệt đất hoang, trong đó trời màu xám và đất xám đã sáp nhập và không thể phân biệt.
They work for longer hours with less income, less social welfare.	Họ làm việc nhiều giờ hơn với ít thu nhập hơn, ít phúc lợi xã hội hơn.
Different prophets in different times warned us of another tragedy that is less perceptible but not less important, and this is the “awful death [that] cometh upon the wicked; for they die as to things pertaining to things of righteousness; for they are unclean, and no unclean thing can inherit the kingdom of God” (Alma 40:26).	Các vị tiên tri khác trong những thời điểm khác đã cảnh cáo chúng ta về một thảm cảnh khác khó nhận thấy hơn nhưng không kém quan trọng, và đây là “cái chết ghê gớm đến với kẻ độc ác; vì họ chết đối với những điều thuộc sự ngay chính; vì họ ô uế, và không một vật ô uế nào có thể thừa hưởng được vương quốc của Thượng Đế” (An Ma 40:26).
Although it 's a near-perfect measure of the entire U.S. market , the Wilshire 5000 is referred to less often than the less comprehensive SP 500 when people talk about the entire market .	Mặc dù nó là một thước đo gần như hoàn hảo của toàn thị trường Mỹ , nhưng chỉ số Wilshire 5000 ít được đề cập đến so với chỉ số SP 500 vốn mang tính tổng hợp thấp khi người ta nói về toàn thị trường .
I've seen young men suffering from mental illness, unable to ask for help, for fear it would make them less of a men -- or less of a man.	Tôi thấy nhiềungười đàn ông trẻ đang phải chịu những áp lực về tinh thần, họ không thể nhờ giúp đỡ, vì họ sợ sẽ trông kém nam tính hơn. hoặc là trông không giống như đàn ông thường làm
In fact, suffering is so huge and enormous, his own becomes less and less monumental.	Thật ra, đau khổ quá to lớn nên nỗi đau khổ của ngài càng ít quan trọng hơn.
But does that make the Scriptures less valuable, less important?	Có phải vì vậy mà Kinh Thánh không còn quý như trước, hoặc kém quan trọng hơn không?
You're often charged less -- sometimes much less -- than your maximum cost-per-click (max. CPC) bid, which is the most you'll typically be charged for a click.	Thông thường, bạn chỉ phải trả số tiền thấp hơn -- đôi khi là thấp hơn rất nhiều -- giá thầu theo giá mỗi nhấp chuột tối đa (CPC tối đa), là số tiền cao nhất bạn sẽ bị tính phí cho một nhấp chuột.
And that isn't true -- when you get less miserable, you get less miserable.	Điều này không đúng - khi bạn ít đau khổ hơn, bạn ít đau khổ hơn.
This would allow you to bid more for these customers if you find that they’re especially valuable to your business, or less if you find that they’re less likely to convert.	Điều này sẽ cho phép bạn đặt giá thầu cao hơn cho những khách hàng này nếu bạn thấy rằng họ đặc biệt có giá trị với doanh nghiệp của mình hoặc đặt giá thầu thấp hơn nếu bạn thấy rằng họ có ít khả năng chuyển đổi.
So office sound is a huge area, and incidentally, noise in offices has been shown to make people less helpful, less enjoy their teamwork, and less productive at work.	Nên âm thanh trong văn phòng là một lĩnh vực lớn, và nhân tiện, tiếng ồn ở văn phòng khiến mọi người ít giúp đỡ, ít thấy thích thú với làm việc nhóm hơn, và làm việc ít hiệu quả hơn.
And second of all, it turns out this algorithm is actually less efficient. When we talk about how to do modular exponentiations -- we're gonna do that in the last segment in this module -- you'll see that the running time to compute this exponentiation is actually cubic in the size of P. So this will take roughly log cube of P, whereas if you remember, Euclid's algorithm was able to compute the inverse in quadratic time in the representation of P. So not only is this algorithm less general it only works for primes, it's also less efficient. So score one for Euclid.	Euclid thì khác, cũng làm việc với modulo là hợp số thứ hai, thuật toán này ít hiệu quả hơn khi ta nói về thuật toán tính lũy thừa theo modulo ở phần cuối của video bạn sẽ thấy thời gian chạy của nó sẽ là lập phương chiều dài của p hay cách khác là log của P lập phương thuật toán của Euclid thì lại có thể tính nghịch đảo trong thời gian tỉ lệ với bình phương chiều dài của p thế là thuật toán mới này vừa ít tổng quát hơn và cũng kém hiệu quả hơn so với Euclid.
Mothers who know are willing to live on less and consume less of the world’s goods in order to spend more time with their children—more time eating together, more time working together, more time reading together, more time talking, laughing, singing, and exemplifying.	Những người mẹ hiểu biết đều sẵn lòng sống thiếu hụt và tiêu dùng ít hơn những của cải của thế gian để dành thời giờ nhiều hơn cho con cái của họ—nhiều thời giờ hơn để cùng ăn chung, cùng làm việc, cùng đọc sách, cùng nói chuyện, cười đùa, ca hát và nêu gương.
In time, the Walshes became convinced of what Tyndale was saying, and the clergymen were invited less often and were received with less enthusiasm.	Với thời gian, ông bà Walsh dần dần tin nơi những gì Tyndale nói, và các tu sĩ ít khi được mời đến nhà nữa và không được đón tiếp niềm nở như xưa.
I think it's important that we don't just get on this freeway to ICU without thinking hard about whether or not that's where we all want to end up, particularly as we become older and increasingly frail and ICU has less and less and less to offer us.	Tôi nghĩ điều quan trọng là chúng ta không chỉ chọn con đường cao tốc này tiến thẳng đến ICU mà không nghĩ kỹ về việc liệu đó có phải là kết cục mà chúng ta cuối cùng muốn hướng tới hay không, cụ thể là khi chúng ta già đi và suy nhược ngày càng tăng và ICU ngày càng không giúp gì cho chúng ta được nữa
Others claim, ‘The less you know, the less is expected of you.’	Những người khác cho rằng “nếu biết ít thì không bị đòi hỏi phải làm nhiều”.
Less and less.	Càng ngày càng ít.
However, as we get richer, each extra dollar of GDP is buying us less and less social progress.	Tuy nhiên , chúng ta càng giàu lên , thì những đồng đôla thêm vào trong GDP lại càng khiến chúng ta rời xa hơn với tiến bộ xã hội
And with more and more of the world's population living on this part of the curve, it means GDP is becoming less and less useful as a guide to our development.	Và với càng nhiều dân số thế giới sống ở phần này của đường cong, nó có nghĩa là GDP đang trở nên ít hiệu quả hơn với vai trò dẫn ta đến sự phát triển.
The more stress, the less brain development, which in turn causes less adaptability and causes higher stress levels.	Càng stress, não càng không phát triển dẫn đến càng ít khả năng thích nghi và gây ra stress ở mức cao hơn.
Individuals would be less demanding, family members less quarrelsome, corporations less competitive, and nations less belligerent.	Người ta sẽ ít đòi hỏi hơn, những thành viên trong gia đình bớt sinh sự cãi nhau, các công ty bớt cạnh tranh và các quốc gia bớt gây chiến hơn.
I started traveling less, doing less, using less.	Tôi bắt đầu đi ít hơn, làm việc, sử dụng ít hơn.
